loc_id,loc_label,loc_type,zone,lat,lon,first_runner,peak_start,peak_end,last_runner,loc_start,loc_end,duration,timing_source,notes
1,Regent Street and McLeod Street,traffic,7,45.95435,-66.644418,,,,,06:15:00,10:10:00,235,proxy:2,Barricade closing McLeod @ Regent. No thru traffic -- local only when no runners. Apartment residents on McLeod and Church attendees (Atkins Pewter bldg.) can access parking lot before St John street when no runners.
2,St. John Street and McLeod,course,7,45.953331,-66.642451,08:21:42,08:41:10,09:07:03,09:58:40,06:15:00,10:10:00,235,modeled,Barricade closing McLeod and St John Streets. No traffic until last marathon runner has complete the Queen Sq. loop. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John.
3,Parking Lot 776 McLeod (Apt),course,7,45.952483,-66.641158,08:22:16,08:41:52,09:07:55,09:59:53,06:15:00,10:10:00,235,modeled,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
4,Parking Lot 845 McLeod (Apt),course,7,45.951594,-66.640767,08:22:48,08:42:32,09:08:44,10:01:03,06:15:00,10:15:00,240,modeled,Monitor Parking Lot traffic when runners on course. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
5,Church Street and McLeod Street,course,7,45.952202,-66.640368,08:22:32,08:42:12,09:08:19,10:00:27,06:15:00,10:15:00,240,modeled,Both directions. Any vehicles entering or exiting must wait for when there are no runners.  First runner time is for info. only -- closure in place 45-mins before start time. 
6,Beaverbrook Street and McLeod Street,course,7,45.951258,-66.641751,08:23:01,08:42:48,09:09:05,10:01:31,06:15:00,10:15:00,240,modeled,Southbound Traffic: no thru traffic from Beaverbrook unless local resident. First runner time is for info. only -- closure in place 45-mins before start time. 
7,Scully at Saint John Street,course,7,45.953962,-66.642003,08:21:24,08:40:48,09:06:34,09:58:00,06:15:00,10:10:00,235,modeled,"St. John Street closed, no traffic allowed from Scully. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen and St John."
8,Aberdeen at St John Street,course,7,45.954607,-66.641402,07:00:00,07:20:18,07:41:32,09:57:16,06:15:00,10:10:00,235,modeled,"St. John Street closed, no traffic allowed from Aberdeen. Any traffic will need to turn back to Regent Street. Re-open once gantry is down and safe to re-open St. John Street with continued closure at Aberdeen towards Queen Sq. on Aberdeen."
9,Aberdeen Street and Queen Sq. (Finish/Marathon Loop),course,7,45.95412,-66.640426,07:01:47,07:22:57,07:44:33,09:56:48,06:15:00,10:10:00,235,modeled,Relocated resources from downtown closures once re-opened. Support with crowd control at finish line to ensure that runners in the Marathon have space to make the loop.  Any runner later than 10:45 a.m. will not be permitted to continue.
10,Churchill Row and St. John Street,course,1,45.955478,-66.640544,07:00:27,07:20:49,07:41:38,07:43:26,06:15:00,07:55:00,100,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to Aberdeen and Saint John St. for crowd control for first marathon runner making loop."
11,Charlotte Street and St. John Street,course,1,45.956421,-66.639702,07:00:57,07:21:28,07:42:21,07:44:54,06:15:00,07:55:00,100,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to Charlotte at Trail Crossing. "
12,Charlotte Street at trail crossing,course,1,45.95488,-66.636112,07:52:14,08:30:07,09:49:52,12:58:41,06:15:00,13:10:00,415,modeled,Relocated resources from Charlotte @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. heading north. All runners heading south.
13,George Street and St. John Street,course,1,45.957321,-66.63893,07:01:26,07:22:11,07:43:03,07:46:32,06:15:00,08:00:00,105,modeled,"St. John Street closed, no traffic allowed. When finished, relocate to George and Trail"
14,George Street at trail crossing,course,1,45.955786,-66.635219,07:51:49,08:29:32,09:49:27,12:57:38,06:15:00,13:10:00,415,modeled,Relocated from George @St John. Stop traffic from crossing the trail while runners are there. Marathoners from Queen Sq. loop going north. All runners from Walking Bridge to Queen Sq finish.
15,Aberdeen Street and Church Street,course,1,45.953665,-66.63901,07:53:29,08:35:47,10:00:30,13:00:07,06:15:00,13:15:00,420,modeled,Church at Aberdeen is closed with no traffic as this intersection is at the finish line. Closed until last runner clears.
16,Brunswick Street and St. John Street,course,1,45.958304,-66.638093,07:01:56,07:22:52,07:43:48,07:48:08,06:15:00,08:00:00,105,modeled,"St. John Street closed, no traffic allowed until last half runner clears."
17,Brunswick Street and Regent Street,traffic,1,45.959199,-66.640228,,,,,06:15:00,08:00:00,105,proxy:16,"Brunswick Street closed, no traffic allowed until last runner half marathon runner clears."
18,King Street and St. John Street,traffic,1,45.959267,-66.637395,,,,,06:15:00,08:05:00,110,proxy:24,"St. John Street closed, no traffic allowed until last runner half marathon runner clears."
19,King Street at Regent (SJ St. Tim Drive Thru),traffic,1,45.959853,-66.638769,,,,,06:15:00,08:05:00,110,proxy:24,"King Street Closed, no traffic allowed until last runner half marathon runner clears St John and King intersection. Tim's drive-thru will need to exit to Regent St."
20,King Street and Church Street,traffic,1,45.958298,-66.635035,,,,,06:15:00,08:25:00,130,proxy:38,"King Street Closed, no traffic allowed until last runner half marathon runner clears."
21,University/Waterloo heading to Queen,traffic,1,45.956257,-66.6332,,,,,06:15:00,08:25:00,130,proxy:38,"Queen St Closed, no traffic allowed. Wait until runner reach Regent & Ste Ann Pte."
22,Queen Street and Church Street,traffic,1,45.958632,-66.634728,,,,,06:15:00,08:25:00,130,proxy:38,"Queen Street Closed, no traffic allowed. Individuals at these locations on Queen move to walking bridge"
23,Walking Bridge on South Side,course,1,45.956436,-66.632974,07:51:09,08:29:01,09:48:26,12:56:02,06:15:00,13:10:00,415,modeled,"Direct runners onto the walking bridge and not off trail; returning runners to head straight to Queen Sq. Note: Walking bridge will be open, inform groups coming onto bridge of event in progress."
24,Queen Street and St. John Street,course,1,45.960146,-66.636466,07:02:53,07:24:10,07:45:09,07:51:06,06:15:00,08:05:00,110,modeled,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
25,Crowne Plaza Parking Lot Entrance,course,1,45.960715,-66.637496,07:03:17,07:24:45,07:45:44,07:52:22,06:15:00,08:05:00,110,modeled,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
26,Hilton Garden Inn Parking Entrance,course,1,45.96069,-66.637867,07:03:23,07:24:52,07:45:52,07:52:40,06:15:00,08:05:00,110,modeled,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
27,Victoria Traffic Circle,traffic,1,45.964288,-66.651358,,,,,06:15:00,08:25:00,130,proxy:38,Close access to St. Anne's Point from the roundabout.  Access closed until all runners off the bridge and CoF Traffic give all clear with traffic cones and signage. 
28,Queen at Smythe Street,traffic,1,45.965374,-66.650057,,,,,06:15:00,08:25:00,130,proxy:38,Close access to St. Anne's Point from Queen St.  Redirect runners around the turn loop to Queen and southbound on Northumberland St. Access closed until all runners off the bridge and CoF Traffic gives all clear with traffic cones and signage. 
29,Westmorland and Queen,traffic,1,45.963962,-66.645133,,,,,06:15:00,08:25:00,130,proxy:38,Direct traffic on to the Westmorland Street Bridge during the partial closure.
30,Southside of Bridge,traffic,1,45.963908,-66.645395,,,,,06:15:00,08:25:00,130,proxy:38,Pat Olsen: Will have a police offer on each side of the bridge starting at 6am. *Note: confirm with Pat if 06:30 is fine -- 1hr before*
31,St. Anne's Point and Queen Street,course,1,45.961142,-66.638526,07:03:39,07:25:15,07:46:18,07:53:36,06:15:00,08:05:00,110,modeled,1 TCP Truck Required. Block traffic from going on to St. Anne's Point from Queen & St John Streets (which are already barricaded). 
32,Regent and Queen,course,1,45.961102,-66.63874,07:03:40,07:25:16,07:46:19,07:53:38,06:15:00,08:05:00,110,modeled,1 TCP Truck Required. Block traffic from going on to St. Anne's Point and right onto Queen Street. All traffic must turn left on Queen St. heading West.
33,Buffer Lane (WSB Bridge),course,1,45.968345,-66.642756,07:05:19,07:28:08,07:50:18,08:06:32,06:15:00,08:20:00,125,modeled,2 TCP Trucks Required in Buffer. Partial Closure in Place by 07:00 a.m. Estimating last runner will cross bridge by 8:30 a.m. 45-mins for CoF Traffic to pick up candles. Bridge will reopen no later than 9:30am.
34,Westmorland Street Bridge and Cliffe Street Off Ramp,course,1,45.970217,-66.64178,07:08:30,07:31:49,07:53:27,08:09:21,06:15:00,08:20:00,125,modeled,Ramp before Union St. Close off ramp to prevent runners from taking the wrong way. Lift resource after last runner; ramp remains inaccessible until bridge re-opened by FPF and City Traffic
35,Northside of Bridge ,traffic,1,45.976588,-66.638132,,,,,06:15:00,08:25:00,130,proxy:38,Estimating last runner will cross bridge by 830am. 45 minutes for traffic to pick up candles. Bridge will reopen no later than 9:30am.
36,Main Street at Devonshire Drive,traffic,2,45.974748,-66.644237,,,,,06:15:00,08:25:00,130,proxy:38,1 TCP Truck Required. Close access to Union Street.  Drivers can use Devonshire Dr. as alternate. Access closed until all runners off the bridge and across to the Northside Trail.
37,Union Street and Douglas Avenue,traffic,2,45.974085,-66.642037,,,,,06:15:00,08:25:00,130,proxy:38,"Close access to Union Street.  Access closed until all runners off the bridge. Drivers permitted to turn onto Main Street, heading West."
38,Union Street (End of Ramp),course,2,45.973346,-66.639741,07:10:00,07:33:48,07:55:36,08:14:08,06:15:00,08:25:00,130,modeled,Close access to Union Street at Friel and Douglas and remains closed until all runners off the bridge.  Direct runners to head East on Union to be directed up Friel street.
39,Friel Street and Union Street,course,2,45.972996,-66.638679,07:10:16,07:34:11,07:56:00,08:15:03,06:15:00,08:30:00,135,modeled,Stop traffic from crossing the trail while runners are there. Direct runners up Friel street to trail.
40,Trail at McKeen,course,2,45.972957,-66.635799,07:40:20,07:55:48,08:07:11,09:22:46,06:15:00,09:35:00,200,modeled,Onsite 30-min prior to start. Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
41,Trail at Jaffery,course,2,45.972713,-66.635128,07:40:32,07:56:08,08:07:37,09:23:18,06:15:00,09:35:00,200,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
42,St. Mary's Street and trail,course,2,45.972477,-66.634481,07:40:45,07:56:28,08:08:05,09:23:47,06:15:00,09:35:00,200,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
43,Cliffe Street and trail,course,2,45.971631,-66.63265,07:41:20,07:57:25,08:09:25,09:25:15,06:15:00,09:40:00,205,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
44,Trail at Hughes,course,2,45.970714,-66.631404,07:41:51,07:58:14,08:10:31,09:26:27,06:15:00,09:40:00,205,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
45,Trail at Clark ,course,2,45.968541,-66.62843,07:42:59,08:00:04,08:13:07,09:29:18,06:15:00,09:40:00,205,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
46,Trail at Neil,course,2,45.966391,-66.62559,07:44:05,08:01:48,08:15:20,09:32:05,06:15:00,09:45:00,210,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
47,Trail at Pine,course,2,45.965865,-66.624915,07:44:22,08:02:16,08:15:56,09:32:45,06:15:00,09:45:00,210,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
48,Trail at Gill,course,2,45.965322,-66.624234,07:44:39,08:02:43,08:16:31,09:33:26,06:15:00,09:45:00,210,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
49,Trail and Gibson Street,course,2,45.962892,-66.620926,07:45:55,08:04:44,08:19:23,09:36:36,06:15:00,09:50:00,215,modeled,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
50,Baker at Station,course,2,45.959578,-66.619601,07:47:16,08:09:43,09:38:39,12:53:10,06:15:00,13:05:00,410,modeled,Stop traffic from crossing the trail towards soccer fields / treatment plant while runners are there.
51,Greenwood Drive (at Watters),course,4,45.953734,-66.617356,08:00:23,08:11:42,08:48:38,10:24:56,06:15:00,10:35:00,260,modeled,1 TCP Truck Required. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.
52,Greenwood Drive (at Gibson Trail),course,4,45.953354,-66.606298,08:04:53,08:18:29,08:56:19,10:36:06,06:15:00,10:50:00,275,modeled,1 TCP Truck Required. Second Greenwood traffic control point near the Baptist Church. Stop traffic from crossing the trail while runners are there. Re-open when last Marathon runner crosses second Greenwood.
53,Bridge Street and River Street,course,4,45.978916,-66.5895,08:18:10,08:38:39,09:15:38,11:07:34,06:15:00,11:20:00,305,modeled,Full closure from 08:00 to 10:30 a.m.  Then traffic control at Bridge @ Mill St.
54,Fisher at McGloin,course,4,45.975889,-66.588228,08:16:56,08:36:47,09:14:00,11:05:02,06:15:00,11:20:00,305,modeled,Stop traffic from crossing the trail while runners exit Gibson Trail on to McGloin Street. Remains in place until last runner crosses Marysville Bridge.
55,Gibson Trail exit at McGloin,course,4,45.976241,-66.589311,08:17:03,08:36:58,09:14:00,11:05:01,06:15:00,11:20:00,305,modeled,Direct Runners onto McGloin Street (official course) and *not* on to the sidewalk. 
56,Minue Terrace (South),course,4,45.976862,-66.589644,08:17:20,08:37:23,09:14:22,11:05:40,06:15:00,11:20:00,305,modeled,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.
57,Minue Terrace (North),course,4,45.977376,-66.58968,08:17:32,08:37:42,09:14:39,11:06:10,06:15:00,11:20:00,305,modeled,Stop traffic from entering McGloin while runners are there. Local traffic to exit towards Bridge St. to River and Allen St.
58,Morrison Street and Bridge Street,course,4,45.978923,-66.588199,08:18:11,08:38:41,09:15:51,11:07:57,06:15:00,11:20:00,305,modeled,1 TCP Truck Required. Stop traffic at this point while Marysville Bridge is fully closed until 10:30 a.m. Turn on Morrison to Allen and Downing. Traffic control after 10:30 a.m. will be on Bridge and Mill Streets.
59,Bridge Street and Mill Street,course,4,45.978853,-66.592023,08:08:13,08:37:40,09:33:03,12:05:16,06:15:00,12:20:00,365,modeled,"Full closure from 08:00 to 10:30 a.m. Afterwards, traffic control at Bridge & Mill as runners cross both directions"
60,Canada Street and Miller Street,course,6,45.975221,-66.592053,08:38:53,09:10:03,10:00:18,12:21:29,06:15:00,12:35:00,380,modeled,1 TCP Truck Required. Runners cross Canada Street from trail heading to Kaine Street (southerly direction) coming up the trail from Bridge Street.
61,Kaine Street at trail,course,6,45.973112,-66.592822,08:39:45,09:11:21,10:01:44,12:23:31,06:15:00,12:35:00,380,modeled,Traffic control both directions as runners cross Kaine at trail.
62,Canada Street and Murray Avenue,course,6,45.966065,-66.603455,08:44:09,09:18:02,10:09:53,12:34:01,06:15:00,12:45:00,390,modeled,"Stop traffic from crossing the trail while runners are there. 10K will be heading northbound to 10K turn-around, then back. All other runners heading southbound to Queen Sq."
63,Northside of Walking Bridge at Picaroons,course,6,45.957934,-66.624561,07:48:52,08:26:36,09:52:56,12:50:18,06:15:00,13:05:00,410,modeled,Stop any bike or foot traffic coming from Picaroons Roundhouse. Remind event in progress and mindful or traffic on Walking Bridge (remains open).
64,Northside Trail meets sidewalk from Union St Cross-walk,course,2,45.974361,-66.640142,07:11:17,07:30:53,07:59:04,09:19:38,06:15:00,09:30:00,195,modeled,Stop non-participant foot & cycle traffic when runners are approaching. Expecting low traffic at this point.
65,Northside Trail at Friel St.,course,2,45.97375,-66.638189,07:10:38,07:39:46,08:02:24,09:21:01,06:15:00,09:35:00,200,modeled,Stop traffic from crossing the trail while runners are coming from both directions.
66,Northside Trail and Douglas Ave,course,2,45.974816,-66.641483,07:11:44,07:31:19,07:58:17,09:18:39,06:15:00,09:30:00,195,modeled,Stop traffic from crossing the trail while runners are coming from both directions.
67,Northside Trail and Lynn Ave.,course,2,45.975435,-66.643328,07:12:21,07:31:55,07:57:15,09:17:18,06:15:00,09:30:00,195,modeled,Gate that prevents vehicle traffic entering trail. Watch for bikers and walkers from Preston Dr.
68,Northside Trail at Wallace,course,2,45.976546,-66.646654,07:13:29,07:33:00,07:55:36,09:14:52,06:15:00,09:25:00,190,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
69,Northside Trail at Fulton,course,2,45.978656,-66.652984,07:15:37,07:35:18,07:52:46,09:10:14,06:15:00,09:25:00,190,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
70,Northside Trail at Brookside,course,2,45.980729,-66.657799,07:17:20,07:24:28,08:20:00,09:06:35,06:15:00,09:20:00,185,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
71,Northside Trail at Main (near Royal Rd.),course,2,45.985086,-66.664253,07:20:08,07:28:20,08:16:07,09:00:30,06:15:00,09:15:00,180,modeled,Stop traffic from crossing the trail while runners are crossing. *Note: there is a fire station on Royal Road at Hawkins St. Be aware of Emergency Response Vehicles.*
72,Northside Trail at Manresa Dr.,course,3,45.984623,-66.668401,07:21:28,07:30:09,08:14:18,08:57:39,06:15:00,09:10:00,175,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
73,Northside Trail at Bailey Ave.,course,3,45.983519,-66.672653,07:22:51,07:32:04,08:12:22,08:54:37,06:15:00,09:05:00,170,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
74,Northside Trail at McAdam Ave.,course,3,45.982789,-66.675723,07:23:50,07:33:26,08:11:00,08:52:29,06:15:00,09:05:00,170,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
75,Northside Trail at Srawberry Fields (Ferris),course,3,45.979889,-66.687236,07:27:34,07:38:35,08:05:51,08:44:24,06:15:00,08:55:00,160,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
76,Northside Trail at Sunset Dr. (Claremont Dr.),course,2,45.97874,-66.692177,07:29:09,07:40:45,08:03:44,08:40:59,06:15:00,08:55:00,160,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
77,Northside Trail at Ruby St,course,3,45.978451,-66.701054,07:31:55,07:44:18,08:01:43,08:34:59,06:15:00,08:45:00,150,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
78,Northside Trail at Jassper St,course,3,45.978144,-66.705244,07:33:12,07:44:54,08:00:23,08:32:12,06:15:00,08:45:00,150,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
79,Northside Trail at Grasse Cir,course,3,45.977954,-66.708235,07:34:07,07:45:24,07:59:21,08:30:13,06:15:00,08:45:00,150,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
80,Northside Trail at Pearl (across Spencer),course,3,45.977615,-66.714907,07:36:09,07:46:24,07:59:38,08:25:49,06:15:00,08:40:00,145,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
81,Northside Trail at Pearl (near McGregor),course,3,45.977588,-66.719198,07:37:27,07:46:26,07:58:49,08:22:52,06:15:00,08:35:00,140,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
82,Northside Trail at Blake Crt. (Full Turn),course,3,45.977801,-66.723189,07:37:27,07:46:28,07:58:55,08:23:01,06:15:00,08:35:00,140,modeled,Stop traffic from crossing the trail while runners (coming both directions) are crossing
83,Water Stop: 10K Turn,water,2,45.980158,-66.656539,07:16:52,07:23:50,08:20:39,09:07:36,06:15:00,09:20:00,185,modeled,Marathon runners only. 
84,Water Stop: Clements & McGregor ,water,3,45.977665,-66.72117,07:37:27,07:46:28,07:58:55,08:23:01,06:15:00,08:35:00,140,modeled,Marathon runners only. 
85,Water Stop: Former Trail Hut,water,7,45.958787,-66.620742,07:47:49,08:24:41,09:51:18,12:47:37,06:15:00,13:00:00,405,modeled,All runners. First will be 10K. Last will be Marathoner.
86,Water Stop: Aberdeen & St John,water,7,45.95455,-66.641213,08:21:01,08:40:20,09:06:00,09:57:12,06:15:00,10:10:00,235,modeled,Marathon runners only as they are making the loop at Queen Sq.
87,Water Stop: Gibson Trail,water,4,45.958828,-66.596392,08:08:25,08:23:51,09:01:57,10:44:31,06:15:00,10:55:00,280,modeled,Half & Full Marathon runners. First will be Half. Last Full Marathoner.
88,Water Stop: Mill St,water,5,45.979279,-66.591863,08:08:13,08:37:51,09:29:41,12:05:16,06:15:00,12:20:00,365,modeled,Half & Full Marathon runners. First will be Half coming from Gibson. Last Full Marathoner coming back from Tree Farm.
89,Water Stop: Peniac Bridge,water,5,45.995937,-66.574436,08:28:05,08:53:41,09:38:10,11:56:09,06:15:00,12:10:00,355,modeled,Half & Full Marathon runners. First will be Half coming from Mill St. to the Turn. Last Full Marathoner coming back from Tree Farm.
90,Water Stop: Chase Xmas Tree Farm,water,5,46.002755,-66.575984,09:07:31,09:41:16,10:23:31,11:49:21,06:15:00,12:00:00,345,modeled,Marathon runners only. Both directions as they are making a turn further out the trail.
91,Water Stop: Devon Lumber,water,6,45.959884,-66.618586,08:49:09,09:25:37,10:19:33,12:45:53,06:15:00,13:00:00,405,modeled,All runners. First runner will be 10K. Last will be Marathoner.
92,Water Stop: Finish Line,water,7,45.954291,-66.640752,07:53:14,08:35:35,09:59:48,13:00:07,06:15:00,13:15:00,420,modeled,All runners. First runner will be 10K. Last will be Marathoner.
93,Queen Square (Finish),aid,7,45.954231,-66.640798,07:53:14,08:35:35,09:59:48,13:00:07,06:15:00,13:15:00,420,modeled,SJA First Aid (Finish - All Runners)
94,Northside Trail at Edgewood,aid,2,45.985198,-66.664457,07:20:13,07:28:26,08:16:01,09:00:21,06:15:00,09:15:00,180,modeled,SJA First Aid (Full)
95,Station Rd at Barker St,aid,7,45.959344,-66.619594,08:49:31,09:26:09,10:20:03,12:46:44,06:15:00,13:00:00,405,modeled,SJA First Aid (All Runners)
96,Bridge at Mill St,aid,4,45.979519,-66.59192,08:08:13,08:37:54,09:29:40,12:05:16,06:15:00,12:20:00,365,modeled,SJA First Aid (Full/Half)
