seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1,Start to Queen/Regent,Full,Half,368,912,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Full,10K,368,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Half,10K,912,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,0.0,0.06,SPATIAL_ONLY_NO_TEMPORAL,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,Half,368,912,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,10K,368,618,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Half,10K,912,618,overtake,0.9,1.8,0.9,1.8,5.0,34,1,"1619, 1621, 1624, ... (10 total)",1529,3.7,0.2,34,1,126,35,0.0,0.0,1,0,True,True,True,True,True,0.42,0.53,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,Half,368,912,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,10K,368,618,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Half,10K,912,618,overtake,1.8,2.7,1.8,2.7,5.0,128,13,"1630, 1636, 1650, ... (10 total)","1529, 1606, 1608, ... (10 total)",14.0,2.1,128,13,1664,141,0.7,0.0,12,0,True,True,True,True,True,0.0,0.06,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B1,Friel to 10K Turn,Full,10K,368,618,overtake,2.7,4.25,2.7,4.25,1.5,11,16,"2884, 2888, 2889, ... (10 total)","1000, 1001, 1003, ... (10 total)",3.0,2.6,11,16,98,27,0.0,0.1,0,13,True,True,True,True,True,0.49,0.59,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B2,10K Turn to Friel,Full,10K,368,618,overtake,14.8,16.35,4.25,5.8,1.5,81,56,"2531, 2538, 2545, ... (10 total)","1569, 1570, 1573, ... (10 total)",22.0,9.1,81,56,563,137,0.5,0.0,7,0,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B3,10K Turn to Friel,Full,10K,368,618,overtake,2.7,4.25,4.25,5.8,1.5,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,0.29,0.39,SPATIAL_ONLY_NO_TEMPORAL,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,Half,368,912,parallel,16.35,18.65,2.7,5.0,3.0,52,56,"2531, 2533, 2536, ... (10 total)","2476, 2489, 2500, ... (10 total)",14.1,6.1,52,56,424,108,0.3,0.0,22,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,10K,368,618,parallel,16.35,18.65,5.8,8.1,3.0,171,122,"2531, 2546, 2564, ... (10 total)","1503, 1510, 1523, ... (10 total)",46.5,19.7,171,122,2111,293,1.0,0.0,8,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Half,10K,912,618,parallel,2.7,5.0,5.8,8.1,3.0,694,451,"1636, 1664, 1872, ... (10 total)","1085, 1157, 1242, ... (10 total)",76.1,73.0,912,555,81423,1334,2.0,0.3,10,9,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,21.65,23.26,19.2,20.85,1.5,203,431,"2725, 2762, 2774, ... (10 total)","1636, 1664, 1665, ... (10 total)",55.2,47.3,203,431,2905,634,0.0,0.2,0,3,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,21.65,23.26,8.1,9.75,1.5,119,87,"2531, 2546, 2564, ... (10 total)","1532, 1540, 1542, ... (10 total)",32.3,14.1,119,87,632,206,0.5,0.0,5,0,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,0.0,0.0,4,0,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5.0,10.75,3.0,42,9,"2531, 2533, 2534, ... (10 total)","2521, 2522, 2523, ... (9 total)",11.4,1.0,42,9,335,51,0.1,0.0,3,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J1,Bridge/Mill to Half Turn (Outbound),Full,Half,368,912,counterflow,29.01,31.64,10.75,13.43,1.5,147,209,"2531, 2538, 2546, ... (10 total)","2334, 2342, 2346, ... (10 total)",39.9,22.9,147,209,2041,356,0.9,0.0,13,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J4,Half Turn to Bridge/Mill,Full,Half,368,912,counterflow,34.34,36.93,13.43,16.02,1.5,130,170,"2531, 2546, 2564, ... (10 total)","2346, 2378, 2411, ... (10 total)",35.3,18.6,130,170,1355,300,0.6,0.0,10,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J5,Half Turn to Bridge/Mill (Slow Half),Full,Half,368,912,counterflow,34.34,36.93,10.75,13.43,1.5,45,24,"2531, 2541, 2554, ... (10 total)","2505, 2508, 2509, ... (10 total)",12.2,2.6,45,24,203,69,0.1,0.0,4,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
K1,Bridge/Mill to Station Rd,Full,Half,368,912,counterflow,37.12,40.57,16.02,19.47,3.0,180,244,"2531, 2564, 2580, ... (10 total)","2299, 2342, 2346, ... (10 total)",48.9,26.8,180,244,3105,424,1.1,0.0,8,0,True,True,True,True,True,0.0,0.05,,200.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,18.65,20.3,19.2,20.85,1.5,0,0,,,0.0,0.0,0,0,3321,0,0.0,2.9,0,23,True,False,False,False,False,0.28,0.38,SPATIAL_ONLY_NO_TEMPORAL,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,18.65,20.3,8.1,9.75,1.5,206,217,"2531, 2564, 2580, ... (10 total)","1411, 1418, 1456, ... (10 total)",56.0,35.1,206,217,1849,423,1.0,0.0,10,0,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,0.0,0.0,4,0,True,True,True,True,True,0.0,0.05,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,Half,368,912,overtake,20.3,20.55,20.85,21.1,3.0,66,96,"2845, 2852, 2861, ... (10 total)","1641, 1664, 1665, ... (10 total)",17.9,10.5,66,96,468,162,0.0,0.1,0,3,True,True,True,True,True,0.0,0.2,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,10K,368,618,overtake,20.3,20.55,9.75,10.0,3.0,124,141,"2531, 2538, 2546, ... (10 total)","1371, 1385, 1386, ... (10 total)",33.7,22.8,124,141,751,265,0.6,0.0,6,0,True,True,True,True,True,0.0,0.2,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Half,10K,912,618,overtake,20.85,21.1,9.75,10.0,3.0,17,12,"1628, 1642, 1661, ... (10 total)","1598, 1602, 1604, ... (10 total)",1.9,1.9,17,12,55,29,0.0,0.0,4,0,True,True,True,True,True,0.0,0.2,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
