seg_id,seg_label,width_m,schema,direction,full,half,10k,elite,open,full_from_km,full_to_km,half_from_km,half_to_km,10k_from_km,10k_to_km,elite_from_km,elite_to_km,open_from_km,open_to_km,prior_seg_id,notes,combines,full_length,half_length,10k_length,elite_length,open_length,lengths_match,review_distances,prior_seg_id_old,seg_id_old,seg_id.1,flow_enabled,description
A1,Start to Queen/Regent,5,on_course_open,uni,y,y,y,n,n,0,0.9,0,0.9,0,0.9,0,0,0,0,none,Start with runners heading north on St John to Queen/Regent. Overtake possible in later bins. Density expected to be high with runners from same event just starting.,"""A1a, A2a, A3a""",0.9,0.9,0.9,0,0,y,n,none,A1a,A1,y,"Starting segment used by Full, Half, 10K runners."
A2,Queen/Regent to WSB mid-point,5,on_course_open,uni,y,y,y,n,n,0.9,1.8,0.9,1.8,0.9,1.8,0,0,0,0,A1,From Queen/Regent to St. Anne Blvd to mid-point on WSB. Minimal overtake is expected. Density expected to remain high so close to the start.,"""A1b, A2b, A3b""",0.9,0.9,0.9,0,0,y,n,A1a,A1b,A2,n,"Downtown road section used by Full, Half, 10K runners."
A3,WSB mid-point to Friel,5,on_course_open,uni,y,y,y,n,n,1.8,2.7,1.8,2.7,1.8,2.7,0,0,0,0,A2,From mid-point on WSB to Friel. Overtake likely. Density expected to remain high.,"""A1c, A2c, A3c""",0.9,0.9,0.9,0,0,y,n,A1b,A1c,A3,n,"Crosses Union St. to Friel, part of Full, Half, 10K route."
B1,Friel to 10K Turn (Out),1.5,on_course_narrow,bi,y,n,y,n,n,2.7,4.25,0,0,2.7,4.25,0,0,0,0,A3,10K and Full turn right from Friel and head to 10K Turn. Trail with 1.5m lane as this is a bi-directional segment. Overtake expected with fast 10K overtaking slow full. Density will not be as high as the 10K and Full field will have spaced out at this point. Course Marshals will need to enforce 'keep-right' on this entire segment.,B1,1.55,0,1.55,0,0,y,n,A1c,B1,B1,n,"Turnaround point for Full, 10K event(s)."
B2,10K Turn to Friel (Back),1.5,on_course_narrow,bi,y,n,y,n,n,14.8,16.35,0,0,4.25,5.8,0,0,0,0,"""D2,B1""",10K and Full return from 10K Turn to Friel. Trail with 1.5m lane as this is a bi-directional segment. Overtake expected with fast Full overtaking slow 10K. Density will not be as high as the 10K and Full field will have spaced out at this point. Course Marshals will need to enforce 'keep-right' on this entire segment.,C1,1.55,0,1.55,0,0,y,n,B1,C1,B2,n,"Turnaround point for Full, 10K event(s)."
B3,10K Turn to Friel (Slow/Fast 10k),1.5,on_course_narrow,bi,y,n,y,n,n,2.7,4.25,0,0,4.25,5.8,0,0,0,0,B1,"10K and Full return from 10K Turn to Friel. Trail with 1.5m lane as this is a bi-directional segment. No Overtake expected, but Density will be a factor with Fast 10K meeting Slow Fast. Course Marshals will need to enforce 'keep-right' on this entire segment.",C2,1.55,0,1.55,0,0,y,n,B1,C2,B3,n,"Turnaround point for Full, 10K event(s)."
C1,10K Turn to Royal Rd (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,4.25,5.08,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,0.83,0,0,0,0,--,--,D1a,--,--,n,10K Turn to Royal Rd (Full Out)
C2,Royal Rd to Sunset Dr at Claremont (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,5.08,7.41,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,2.33,0,0,0,0,--,--,D1a,--,--,n,Royal Rd to Sunset Dr at Claremont (Full Out)
C3,Sunset Dr at Claremont to Full Turn at Blake (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,7.41,9.52,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,2.11,0,0,0,0,--,--,D1a,--,--,n,Sunset Dr at Claremont to Full Turn at Blake (Full Out)
D1,Full Turn at Blake to Sunset at Claremont (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,9.5,11.6,0,0,0,0,0,0,0,0,C1,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,2.12,0,0,0,0,--,--,D1b,--,--,n,Full Turn at Blake to Sunset at Claremont (Full Back)
D2,Sunset at Claremont to Royal (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,11.6,14,0,0,0,0,0,0,0,0,C2,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,2.33,0,0,0,0,--,--,D1b,--,--,n,Sunset at Claremont to Royal (Full Back)
D3,Royal to 10K Turn (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,14,14.8,0,0,0,0,0,0,0,0,C3,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,0.83,0,0,0,0,--,--,D1b,--,--,n,Royal to 10K Turn (Full Back)
E1,Friel to Hughes,3,on_course_open,uni,y,y,y,n,n,16.35,16.98,2.7,3.33,5.8,6.43,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E1,0.63,0.63,0.63,0,0,--,--,F1,--,--,y,"Friel to Hughes (full, 10k, half)"
E2,Hughes to Neil,3,on_course_open,uni,y,y,y,n,n,16.98,17.64,3.33,3.99,6.43,7.09,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E2,0.66,0.66,0.66,0,0,--,--,F1,--,--,y,"Hughes to Neil (full, 10k, half)"
E3,Neil to Gibson,3,on_course_open,uni,y,y,y,n,n,17.64,18.18,3.99,4.53,7.09,7.63,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E3,0.54,0.54,0.54,0,0,--,--,F1,--,--,y,"Neil to Gibson (full, 10k, half)"
E4,Gibson to Station Rd.,3,on_course_open,uni,y,y,y,n,n,18.18,18.65,4.53,5,7.63,8.1,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E4,0.47,0.47,0.47,0,0,--,--,F1,--,--,y,"Gibson to Station Rd. (full, 10k, half)"
G1,Full Loop around QS to Trail/Aberdeen,3,on_course_open,uni,y,n,n,n,n,20.55,21.65,0,0,0,0,0,0,0,0,M1,Full Only on Aberdeen to St John to McLeod and then Lincoln Trail behind LBR. No Overtake and Density should be an issue at this distance for Full runners.,G1,1.1,0,0,0,0,y,n,M1b,G1,G1,n,Riverside trail section for Full runners.
H1,Trail/Aberdeen to/from Station Rd,1.5,on_course_narrow,bi,y,y,y,n,n,21.65,23.26,19.2,20.85,8.1,9.75,0,0,0,0,"""G1,K1,F1""",Trail at Aberdeen (Water Well) to/from Station Rd. where Full are outbound from Queen Square loop to Sation Rd. 10K and Half runners are inbound to Finish at Queen Square. 10K to changed from 10K to 9.75 to align with M1a. Need to review the Half 19.2 vs. 19.47 in L1.,"""G2, G3""",1.61,1.65,1.65,0,0,n,y,"""G2, L1, F1""",G2,H1,n,"Riverside trail section for Full, Half, 10K runners."
I1,Station Rd to Greenwood Dr (Watters),3,on_course_open,uni,y,y,n,n,n,23.26,23.97,5,5.71,0,0,0,0,0,0,"""E4,H1""",Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,I1,0.71,0.71,0,0,0,--,--,I1,--,--,n,"Segment out to Marysville along Gibson Trail used by Full, Half."
I2,Greenwood Dr (Watters) to Greenwood (2nd Crossing),3,on_course_open,uni,y,y,n,n,n,23.97,25.17,5.71,6.91,0,0,0,0,0,0,"""E4,H1""",Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,I2,1.2,1.2,0,0,0,--,--,I1,--,--,n,"Segment out to Marysville along Gibson Trail used by Full, Half."
I3,Greenwood (2nd Crossing) to Water Stop,3,on_course_open,uni,y,y,n,n,n,25.17,26.18,6.91,7.92,0,0,0,0,0,0,"""E4,H1""",Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,I3,1.01,1.01,0,0,0,--,--,I1,--,--,n,"Segment out to Marysville along Gibson Trail used by Full, Half."
I4,Gibson Trail Water Stop to McGloin,3,on_course_open,uni,y,y,n,n,n,26.18,28.55,7.92,10.29,0,0,0,0,0,0,"""E4,H1""",Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,I4,2.37,2.37,0,0,0,--,--,I1,--,--,n,"Segment out to Marysville along Gibson Trail used by Full, Half."
I5,McGloin to Bridge/Mill,3,on_course_open,uni,y,y,n,n,n,28.55,29.01,10.29,10.75,0,0,0,0,0,0,"""E4,H1""",Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,I5,0.46,0.46,0,0,0,--,--,I1,--,--,n,"Segment out to Marysville along Gibson Trail used by Full, Half."
J1,Bridge/Mill to Half Turn (Outbound),1.5,on_course_narrow,bi,y,y,n,n,n,29.01,31.64,10.75,13.43,0,0,0,0,0,0,I5,On Trial (1.5m lane) Half to Half Turn with Full continuing to the Full Turn at Tree Farm.,I1,2.63,2.68,0,0,0,y,n,H1,I1,J1,n,"Segment over bridge (bi-directional), used by Full, Half."
J2,Half Turn to Full Turn (Out),1.5,on_course_narrow,uni,y,n,n,n,n,31.64,33.11,0,0,0,0,0,0,0,0,J1,Outbound to Full Turn at Tree Farm. On Trail (1.5m lane). Course Marshals will need to keep runners right.,J1,1.47,0,0,0,0,y,n,I1,J1,J2,n,Turnaround point for Full event(s).
J3,Full Turn to Half Turn (Return),1.5,on_course_narrow,uni,y,n,n,n,n,33.11,34.34,0,0,0,0,0,0,0,0,J2,Return from Full Turn at Tree Farm. On Trail (1.5m lane). Course Marshals will need to keep runners right.,J2,1.23,0,0,0,0,y,n,J1,J2,J3,n,Turnaround point for Full event(s).
J4,Half Turn to Bridge/Mill,1.5,on_course_narrow,uni,y,y,n,n,n,34.34,36.93,13.43,16.02,0,0,0,0,0,0,"""J3,J1""",Full (coming from Full Turn) and Half from the Half Turn to Bridge/Mill On Trail (1.5m lane),K1,2.59,2.59,0,0,0,y,n,"""J2, I1""",K1,J4,n,Half and full runners back to Marysville Bridge
J5,Half Turn to Bridge/Mill (Slow Half),1.5,on_course_narrow,uni,y,y,n,n,n,34.34,36.93,10.75,13.43,0,0,0,0,0,0,"""J3,I1""",Full (coming from Full Turn) meeting very slow Half still outbound to Half Turn. This is needed for density calculations. On Trail (1.5m lane). Review needed - see full-time 36.93 vs. L1 37.12,K2,2.59,2.68,0,0,0,n,y,"""J2, H1""",K2,J5,n,Half (slow) and full runners back to Marysville Bridge
K1,Bridge/Mill to Kaine Street,3,on_course_open,uni,y,y,n,n,n,37.12,37.82,16.02,16.72,0,0,0,0,0,0,J5,Full/Half runners from Bridge/Mill to Kaine Street. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,K1,0.7,0.7,0,0,0,--,--,K1,--,--,n,Segment from Marysville Bridge via Devon lumber trail to Station/Barker
K2,Kaine to Gilbert,3,on_course_open,uni,y,y,n,n,n,37.82,38.42,16.72,17.32,0,0,0,0,0,0,K1,Full/Half runners from Kaine to Gilbert. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,K2,0.6,0.6,0,0,0,--,--,K1,--,--,n,Segment from Marysville Bridge via Devon lumber trail to Station/Barker
K3,Gilbert to Canada St,3,on_course_open,uni,y,y,n,n,n,38.42,39.07,17.32,17.97,0,0,0,0,0,0,K2,Full/Half runners from Gilbert ot Canada St. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,K3,0.65,0.65,0,0,0,--,--,K1,--,--,n,Segment from Marysville Bridge via Devon lumber trail to Station/Barker
K4,Canada St to Station/Barker,3,on_course_open,uni,y,y,n,n,n,39.07,40.57,17.97,19.47,0,0,0,0,0,0,K3,Full/Half runners from Canada St to Station/Barker. Overtake possible with fast Full and slow Half. On Trail (3.0m two lanes). Course Marshals will need to remind keep right for any overtakes.,K4,1.5,1.5,0,0,0,--,--,K1,--,--,n,Segment from Marysville Bridge via Devon lumber trail to Station/Barker
L1,Trail/Aberdeen to/from Station Rd,1.5,on_course_narrow,bi,y,y,y,n,n,18.65,20.3,19.2,20.85,8.1,9.75,0,0,0,0,"""F1,K1,F1""",Runners from all events. 10K are repeated here (first in F1) to account for slow 10K meeting fast Half and Full. On Trail (1.5m lane) with this segment having runners from all events.,"""M1a, M1b, M1c""",1.65,1.65,1.65,0,0,y,n,"""F1, L1, F1""",M1a,L1,n,"Riverside trail section for Full, Half, 10K runners."
L2,Station Rd to Trail/Aberdeen (Full Only),1.5,on_course_narrow,uni,y,n,n,n,n,40.57,41.95,0,0,0,0,0,0,0,0,K1,Full only on their final leg to Finish. On Trail (1.5m lane).,M1d,1.38,0,0,0,0,y,n,L1,M1d,L2,n,Riverside trail section for Full runners.
M1,Trail/Aberdeen to Finish (Full to Loop),3,on_course_open,uni,y,y,y,n,n,20.3,20.55,20.85,21.1,9.75,10,0,0,0,0,L1,Full only Trail/Aberdeen (Water Well) to Finish. Overtake is possible with faster runners in Half and 10K meeting slower in Half 10K and Full on their QS Loop. Expect medium density. Course Marshals will need to enforce keep right on this critical race to the finish.,"""M2a, M2b, M2c""",0.25,0.25,0.25,0,0,y,n,M1a,M2a,M1,n,"Approach to finish line for Full, Half, 10K."
M2,Trail/Aberdeen to Finish,3,on_course_open,uni,y,n,n,n,n,41.95,42.371,0,0,0,0,0,0,0,0,L2,Full only Trail/Aberdeen (Water Well) to Finish.,M2d,0.421,0,0,0,0,y,n,M1d,M2d,M2,n,Approach to finish line for Full.
N1,Start to Queen/Westmorland,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,0,0.57,0,0,,Start to Queen/Westmorland,N1,0,0,0,0.57,0,--,--,--,--,--,y,Start to Queen/Westmorland
N2,Queen/Westmorland to PSAB/WSB,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,0.57,1.45,0,0,N1,Queen/Westmorland to PSAB/WSB,N1,0,0,0,0.88,0,--,--,--,--,--,y,Queen/Westmorland to PSAB/WSB
N3,PSAB/WSB to 104th Bridge,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,1.45,1.88,0,0,N2,PSAB/WSB to 104th Bridge,N1,0,0,0,0.43,0,--,--,--,--,--,y,PSAB/WSB to 104th Bridge
N4,104th to Queen/York,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,1.88,2.58,0,0,N3,104th to Queen/York,N1,0,0,0,0.7,0,--,--,--,--,--,y,104th to Queen/York
N5,Queen/York to Queen at PSAB (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,2.58,3.15,0,0,N4,Queen/York to Queen at PSAB,N2,0,0,0,0.57,0,--,--,--,--,--,y,Queen/York to Queen at PSAB
N6,Queen at PSAB to PSAB/WSB (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,3.15,3.68,0,0,N5,Queen at PSAB to PSAB/WSB,N2,0,0,0,0.53,0,--,--,--,--,--,y,Queen at PSAB to PSAB/WSB
N7,PSAB/WSB to 104th Bridge (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,3.68,4.11,0,0,N6,PSAB/WSB to 104th Bridge,N2,0,0,0,0.43,0,--,--,--,--,--,y,PSAB/WSB to 104th Bridge
N8,104th to Queen/York (Lap 2),5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,4.11,4.81,0,0,N7,104th to Queen/York,N2,0,0,0,0.7,0,--,--,--,--,--,y,104th to Queen/York
N9,Queen/York to Finish,5,on_course_open,uni,n,n,n,y,n,0,0,0,0,0,0,4.81,5,0,0,N8,Queen/York to Finish,N3,0,0,0,0.19,0,--,--,--,--,--,y,Queen/York to Finish
O1,Start to Queen/Westmorland,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,0,0.57,,Start to Queen/Westmorland,O1,0,0,0,0,0.57,--,--,--,--,--,y,Start to Queen/Westmorland
O2,Queen/Westmorland to PSAB/WSB,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,0.57,1.45,O1,Queen/Westmorland to PSAB/WSB,O1,0,0,0,0,0.88,--,--,--,--,--,y,Queen/Westmorland to PSAB/WSB
O3,PSAB/WSB to 104th Bridge,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,1.45,1.88,O2,PSAB/WSB to 104th Bridge,O1,0,0,0,0,0.43,--,--,--,--,--,y,PSAB/WSB to 104th Bridge
O4,104th to Queen/York,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,1.88,2.58,O3,104th to Queen/York,O1,0,0,0,0,0.7,--,--,--,--,--,y,104th to Queen/York
O5,Queen/York to Queen at PSAB (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,2.58,3.15,O4,Queen/York to Queen at PSAB,O2,0,0,0,0,0.57,--,--,--,--,--,y,Queen/York to Queen at PSAB
O6,Queen at PSAB to PSAB/WSB (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,3.15,3.68,O5,Queen at PSAB to PSAB/WSB,O2,0,0,0,0,0.53,--,--,--,--,--,y,Queen at PSAB to PSAB/WSB
O7,PSAB/WSB to 104th Bridge (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,3.68,4.11,O6,PSAB/WSB to 104th Bridge,O2,0,0,0,0,0.43,--,--,--,--,--,y,PSAB/WSB to 104th Bridge
O8,104th to Queen/York (Lap 2),5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,4.11,4.81,O7,104th to Queen/York,O2,0,0,0,0,0.7,--,--,--,--,--,y,104th to Queen/York
O9,Queen/York to Finish,5,on_course_open,uni,n,n,n,n,y,0,0,0,0,0,0,0,0,4.81,5,O8,Queen/York to Finish,O3,0,0,0,0,0.19,--,--,--,--,--,y,Queen/York to Finish