seg_id,event,from_km,to_km,width_m,direction,step_km,include_y,physical_name,notes
A1a,10K,0.0,0.9,5.0,uni,0.1,y,Start to Queen/Regent,"Start along St John Street; All events use this segment"
A1a,Half,0.0,0.9,5.0,uni,0.1,y,Start to Queen/Regent,"Start along St John Street; All events use this segment"
A1a,Full,0.0,0.9,5.0,uni,0.1,y,Start to Queen/Regent,"Start along St John Street; All events use this segment"
A1b,10K,0.9,1.8,5.0,uni,0.1,y,Queen/Regent to WSB mid-point,"Pointe St. Anne Blvd to half-way on WSB"
A1b,Half,0.9,1.8,5.0,uni,0.1,y,Queen/Regent to WSB mid-point,"Pointe St. Anne Blvd to half-way on WSB"
A1b,Full,0.9,1.8,5.0,uni,0.1,y,Queen/Regent to WSB mid-point,"Pointe St. Anne Blvd to half-way on WSB"
A1c,10K,1.8,2.7,5.0,uni,0.1,y,WSB mid-point to Friel,"Half-way on WSB"
A1c,Half,1.8,2.7,5.0,uni,0.1,y,WSB mid-point to Friel,"Half-way on WSB"
A1c,Full,1.8,2.7,5.0,uni,0.1,y,WSB mid-point to Friel,"Half-way on WSB"
B1,10K,2.7,4.25,1.5,bi,0.1,y,Friel to 10K Turn,"On Trail (1.5m lane); 10K and Full use this segment"
B1,Full,2.7,4.25,1.5,bi,0.1,y,Friel to 10K Turn,"On Trail (1.5m lane); 10K and Full use this segment"
C1,10K,4.25,5.8,1.5,bi,0.1,y,10K Turn to Friel,"On Trail (1.5m lane); 10K and Full use this segment"
C1,Full,14.8,16.35,1.5,bi,0.1,y,10K Turn to Friel,"On Trail (1.5m lane); 10K and Full use this segment"
D1,Full,4.25,9.52,1.5,bi,0.1,y,10K Turn to Full Turn Blake Crt,"On Trail (1.5m lane); Full out/back from 10K Turn to Full Turn"
D2,Full,9.52,14.8,1.5,bi,0.1,y,Full Turn Blake Crt to 10K Turn,"On Trail (1.5m lane); Full out/back from 10K Turn to Full Turn"
F1,10K,5.8,8.1,3.0,uni,0.1,y,Friel to Station Rd.,"On Trail (3.0m two lanes); All events use this segment"
F1,Half,2.7,5.0,3.0,uni,0.1,y,Friel to Station Rd.,"On Trail (3.0m two lanes); All events use this segment"
F1,Full,16.35,18.65,3.0,uni,0.1,y,Friel to Station Rd.,"On Trail (3.0m two lanes); All events use this segment"
G1,Full,20.55,21.65,3.0,uni,0.1,y,Full Loop QS to Trail/Aberdeen,"Full Only on Aberdeen St John McLeod Lincoln Trail (Queen Sq Loop)"
G2,10K,8.1,10.0,1.5,bi,0.1,y,Trail/Aberdeen to Station Rd (Full outbound to Station vs 10K finish),"Trail at Aberdeen (by water pump station) to Station Rd. where Full runners go right to Gibson Trail. 10K heading southbound to Finish. Shared segment with Half."
G2,Half,19.35,20.85,1.5,bi,0.1,y,Trail/Aberdeen to Station Rd (Full outbound to Station vs Half finish),"Trail at Aberdeen (by water pump station) to Station Rd. where Full and Half runners go right to Gibson Trail. Shared segment with 10K."
G2,Full,21.65,23.26,1.5,bi,0.1,y,Trail/Aberdeen to Station Rd (Full outbound to Station vs 10K finish),"Trail at Aberdeen (by water pump station) to Station Rd. where Full runners go right to Gibson Trail. 10K heading southbound to Finish. Shared segment with Half."
G3,Full,21.65,23.26,1.5,bi,0.1,y,Trail/Aberdeen to Station Rd. (Full outbound to Station vs Half finish),"Trail at Aberdeen (by water pump station) to Station Rd. where Full and Half runners go right to Gibson Trail. Shared segment with 10K."
G3,Half,19.35,20.85,1.5,bi,0.1,y,Trail/Aberdeen to Station Rd. (Full outbound to Station vs Half finish),"Trail at Aberdeen (by water pump station) to Station Rd. where Full and Half runners go right to Gibson Trail. Shared segment with 10K."
H1,Half,5.0,10.75,3.0,uni,0.1,y,Station Rd. to Bridge/Mill (Half + Full co-direction),"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville."
H1,Full,23.26,29.01,3.0,uni,0.1,y,Station Rd. to Bridge/Mill (Half + Full co-direction),"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville."
I1,Half,10.75,13.43,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
I1,Full,29.01,31.69,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
J1,Half,13.43,16.02,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
J1,Full,31.69,34.34,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
K1,Half,16.02,18.35,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
K1,Full,34.34,36.93,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
K2,Half,13.43,16.02,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
K2,Full,34.34,36.93,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
L1,Half,18.35,20.85,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
L1,Full,36.93,39.43,1.5,uni,0.1,y,Half Turn to Bridge/Mill,"On Trail (1.5m lane); Half and Full co-direction return"
M1,Full,39.43,42.2,1.5,uni,0.1,y,Full Turn to Finish,"On Trail (1.5m lane); Full only to finish"