event,runner_id,pace,distance
10K,1000,3.366666667,10.0
10K,1001,3.366666667,10.0
10K,1002,3.633333333,10.0
10K,1003,3.766666667,10.0
10K,1004,3.8,10.0
10K,1005,3.85,10.0
10K,1006,3.9,10.0
10K,1007,3.933333333,10.0
10K,1008,3.95,10.0
10K,1009,3.966666667,10.0
10K,1010,3.983333333,10.0
10K,1011,4.033333333,10.0
10K,1012,4.066666667,10.0
10K,1013,4.1,10.0
10K,1014,4.116666667,10.0
10K,1015,4.133333333,10.0
10K,1016,4.266666667,10.0
10K,1017,4.316666667,10.0
10K,1018,4.366666667,10.0
10K,1019,4.416666667,10.0
10K,1020,4.45,10.0
10K,1021,4.45,10.0
10K,1022,4.5,10.0
10K,1023,4.55,10.0
10K,1024,4.533333333,10.0
10K,1025,4.55,10.0
10K,1026,4.533333333,10.0
10K,1027,4.516666667,10.0
10K,1028,4.566666667,10.0
10K,1029,4.566666667,10.0
10K,1030,4.55,10.0
10K,1031,4.583333333,10.0
10K,1032,4.616666667,10.0
10K,1033,4.65,10.0
10K,1034,4.65,10.0
10K,1035,4.666666667,10.0
10K,1036,4.683333333,10.0
10K,1037,4.616666667,10.0
10K,1038,4.7,10.0
10K,1039,4.716666667,10.0
10K,1040,4.716666667,10.0
10K,1041,4.8,10.0
10K,1042,4.8,10.0
10K,1043,4.833333333,10.0
10K,1044,4.833333333,10.0
10K,1045,4.85,10.0
10K,1046,4.866666667,10.0
10K,1047,4.883333333,10.0
10K,1048,4.883333333,10.0
10K,1049,4.9,10.0
10K,1050,4.9,10.0
10K,1051,4.9,10.0
10K,1052,4.916666667,10.0
10K,1053,4.85,10.0
10K,1054,4.916666667,10.0
10K,1055,4.916666667,10.0
10K,1056,4.916666667,10.0
10K,1057,4.933333333,10.0
10K,1058,4.95,10.0
10K,1059,4.95,10.0
10K,1060,4.95,10.0
10K,1061,4.95,10.0
10K,1062,4.966666667,10.0
10K,1063,4.966666667,10.0
10K,1064,4.983333333,10.0
10K,1065,4.983333333,10.0
10K,1066,5.0,10.0
10K,1067,5.016666667,10.0
10K,1068,4.966666667,10.0
10K,1069,5.033333333,10.0
10K,1070,5.05,10.0
10K,1071,5.066666667,10.0
10K,1072,5.016666667,10.0
10K,1073,5.05,10.0
10K,1074,5.066666667,10.0
10K,1075,5.1,10.0
10K,1076,5.083333333,10.0
10K,1077,5.1,10.0
10K,1078,5.116666667,10.0
10K,1079,5.133333333,10.0
10K,1080,5.133333333,10.0
10K,1081,5.133333333,10.0
10K,1082,5.133333333,10.0
10K,1083,5.15,10.0
10K,1084,5.166666667,10.0
10K,1085,5.166666667,10.0
10K,1086,5.15,10.0
10K,1087,5.116666667,10.0
10K,1088,5.133333333,10.0
10K,1089,5.166666667,10.0
10K,1090,5.15,10.0
10K,1091,5.133333333,10.0
10K,1092,5.183333333,10.0
10K,1093,5.216666667,10.0
10K,1094,5.216666667,10.0
10K,1095,5.25,10.0
10K,1096,5.266666667,10.0
10K,1097,5.25,10.0
10K,1098,5.25,10.0
10K,1099,5.25,10.0
10K,1100,5.25,10.0
10K,1101,5.266666667,10.0
10K,1102,5.266666667,10.0
10K,1103,5.283333333,10.0
10K,1104,5.283333333,10.0
10K,1105,5.3,10.0
10K,1106,5.283333333,10.0
10K,1107,5.283333333,10.0
10K,1108,5.3,10.0
10K,1109,5.316666667,10.0
10K,1110,5.333333333,10.0
10K,1111,5.333333333,10.0
10K,1112,5.35,10.0
10K,1113,5.333333333,10.0
10K,1114,5.366666667,10.0
10K,1115,5.366666667,10.0
10K,1116,5.35,10.0
10K,1117,5.383333333,10.0
10K,1118,5.4,10.0
10K,1119,5.366666667,10.0
10K,1120,5.383333333,10.0
10K,1121,5.4,10.0
10K,1122,5.416666667,10.0
10K,1123,5.4,10.0
10K,1124,5.416666667,10.0
10K,1125,5.35,10.0
10K,1126,5.416666667,10.0
10K,1127,5.433333333,10.0
10K,1128,5.45,10.0
10K,1129,5.45,10.0
10K,1130,5.416666667,10.0
10K,1131,5.45,10.0
10K,1132,5.45,10.0
10K,1133,5.416666667,10.0
10K,1134,5.433333333,10.0
10K,1135,5.383333333,10.0
10K,1136,5.45,10.0
10K,1137,5.4,10.0
10K,1138,5.45,10.0
10K,1139,5.45,10.0
10K,1140,5.466666667,10.0
10K,1141,5.483333333,10.0
10K,1142,5.466666667,10.0
10K,1143,5.466666667,10.0
10K,1144,5.5,10.0
10K,1145,5.5,10.0
10K,1146,5.466666667,10.0
10K,1147,5.45,10.0
10K,1148,5.5,10.0
10K,1149,5.516666667,10.0
10K,1150,5.516666667,10.0
10K,1151,5.466666667,10.0
10K,1152,5.466666667,10.0
10K,1153,5.533333333,10.0
10K,1154,5.516666667,10.0
10K,1155,5.533333333,10.0
10K,1156,5.533333333,10.0
10K,1157,5.533333333,10.0
10K,1158,5.466666667,10.0
10K,1159,5.55,10.0
10K,1160,5.55,10.0
10K,1161,5.55,10.0
10K,1162,5.55,10.0
10K,1163,5.566666667,10.0
10K,1164,5.566666667,10.0
10K,1165,5.516666667,10.0
10K,1166,5.533333333,10.0
10K,1167,5.55,10.0
10K,1168,5.6,10.0
10K,1169,5.6,10.0
10K,1170,5.583333333,10.0
10K,1171,5.533333333,10.0
10K,1172,5.533333333,10.0
10K,1173,5.633333333,10.0
10K,1174,5.616666667,10.0
10K,1175,5.616666667,10.0
10K,1176,5.633333333,10.0
10K,1177,5.633333333,10.0
10K,1178,5.633333333,10.0
10K,1179,5.6,10.0
10K,1180,5.6,10.0
10K,1181,5.683333333,10.0
10K,1182,5.65,10.0
10K,1183,5.633333333,10.0
10K,1184,5.666666667,10.0
10K,1185,5.666666667,10.0
10K,1186,5.683333333,10.0
10K,1187,5.666666667,10.0
10K,1188,5.666666667,10.0
10K,1189,5.7,10.0
10K,1190,5.683333333,10.0
10K,1191,5.683333333,10.0
10K,1192,5.683333333,10.0
10K,1193,5.683333333,10.0
10K,1194,5.683333333,10.0
10K,1195,5.716666667,10.0
10K,1196,5.716666667,10.0
10K,1197,5.7,10.0
10K,1198,5.733333333,10.0
10K,1199,5.75,10.0
10K,1200,5.75,10.0
10K,1201,5.75,10.0
10K,1202,5.75,10.0
10K,1203,5.75,10.0
10K,1204,5.766666667,10.0
10K,1205,5.766666667,10.0
10K,1206,5.8,10.0
10K,1207,5.8,10.0
10K,1208,5.8,10.0
10K,1209,5.783333333,10.0
10K,1210,5.8,10.0
10K,1211,5.766666667,10.0
10K,1212,5.8,10.0
10K,1213,5.766666667,10.0
10K,1214,5.783333333,10.0
10K,1215,5.8,10.0
10K,1216,5.75,10.0
10K,1217,5.8,10.0
10K,1218,5.833333333,10.0
10K,1219,5.8,10.0
10K,1220,5.816666667,10.0
10K,1221,5.833333333,10.0
10K,1222,5.816666667,10.0
10K,1223,5.85,10.0
10K,1224,5.833333333,10.0
10K,1225,5.833333333,10.0
10K,1226,5.8,10.0
10K,1227,5.833333333,10.0
10K,1228,5.816666667,10.0
10K,1229,5.85,10.0
10K,1230,5.866666667,10.0
10K,1231,5.85,10.0
10K,1232,5.85,10.0
10K,1233,5.866666667,10.0
10K,1234,5.866666667,10.0
10K,1235,5.866666667,10.0
10K,1236,5.85,10.0
10K,1237,5.866666667,10.0
10K,1238,5.883333333,10.0
10K,1239,5.833333333,10.0
10K,1240,5.85,10.0
10K,1241,5.833333333,10.0
10K,1242,5.833333333,10.0
10K,1243,5.9,10.0
10K,1244,5.883333333,10.0
10K,1245,5.9,10.0
10K,1246,5.883333333,10.0
10K,1247,5.9,10.0
10K,1248,5.9,10.0
10K,1249,5.9,10.0
10K,1250,5.9,10.0
10K,1251,5.9,10.0
10K,1252,5.9,10.0
10K,1253,5.866666667,10.0
10K,1254,5.916666667,10.0
10K,1255,5.933333333,10.0
10K,1256,5.916666667,10.0
10K,1257,5.9,10.0
10K,1258,5.9,10.0
10K,1259,5.95,10.0
10K,1260,5.916666667,10.0
10K,1261,5.933333333,10.0
10K,1262,5.933333333,10.0
10K,1263,5.933333333,10.0
10K,1264,5.933333333,10.0
10K,1265,5.916666667,10.0
10K,1266,5.916666667,10.0
10K,1267,5.916666667,10.0
10K,1268,5.933333333,10.0
10K,1269,5.933333333,10.0
10K,1270,5.95,10.0
10K,1271,5.95,10.0
10K,1272,5.933333333,10.0
10K,1273,5.916666667,10.0
10K,1274,5.966666667,10.0
10K,1275,5.933333333,10.0
10K,1276,5.95,10.0
10K,1277,5.95,10.0
10K,1278,5.95,10.0
10K,1279,5.983333333,10.0
10K,1280,5.95,10.0
10K,1281,5.95,10.0
10K,1282,5.983333333,10.0
10K,1283,5.95,10.0
10K,1284,5.966666667,10.0
10K,1285,5.966666667,10.0
10K,1286,5.966666667,10.0
10K,1287,5.95,10.0
10K,1288,5.983333333,10.0
10K,1289,5.983333333,10.0
10K,1290,6.0,10.0
10K,1291,5.983333333,10.0
10K,1292,6.0,10.0
10K,1293,5.966666667,10.0
10K,1294,6.016666667,10.0
10K,1295,6.016666667,10.0
10K,1296,6.016666667,10.0
10K,1297,6.016666667,10.0
10K,1298,6.0,10.0
10K,1299,6.05,10.0
10K,1300,6.066666667,10.0
10K,1301,6.05,10.0
10K,1302,6.05,10.0
10K,1303,6.033333333,10.0
10K,1304,6.033333333,10.0
10K,1305,6.1,10.0
10K,1306,6.1,10.0
10K,1307,6.016666667,10.0
10K,1308,6.1,10.0
10K,1309,6.05,10.0
10K,1310,6.116666667,10.0
10K,1311,6.116666667,10.0
10K,1312,6.1,10.0
10K,1313,6.1,10.0
10K,1314,6.1,10.0
10K,1315,6.116666667,10.0
10K,1316,6.133333333,10.0
10K,1317,6.133333333,10.0
10K,1318,6.133333333,10.0
10K,1319,6.1,10.0
10K,1320,6.133333333,10.0
10K,1321,6.116666667,10.0
10K,1322,6.166666667,10.0
10K,1323,6.166666667,10.0
10K,1324,6.15,10.0
10K,1325,6.116666667,10.0
10K,1326,6.15,10.0
10K,1327,6.116666667,10.0
10K,1328,6.116666667,10.0
10K,1329,6.15,10.0
10K,1330,6.133333333,10.0
10K,1331,6.15,10.0
10K,1332,6.15,10.0
10K,1333,6.183333333,10.0
10K,1334,6.166666667,10.0
10K,1335,6.183333333,10.0
10K,1336,6.183333333,10.0
10K,1337,6.166666667,10.0
10K,1338,6.166666667,10.0
10K,1339,6.233333333,10.0
10K,1340,6.216666667,10.0
10K,1341,6.216666667,10.0
10K,1342,6.233333333,10.0
10K,1343,6.216666667,10.0
10K,1344,6.233333333,10.0
10K,1345,6.25,10.0
10K,1346,6.233333333,10.0
10K,1347,6.3,10.0
10K,1348,6.3,10.0
10K,1349,6.3,10.0
10K,1350,6.3,10.0
10K,1351,6.25,10.0
10K,1352,6.3,10.0
10K,1353,6.283333333,10.0
10K,1354,6.283333333,10.0
10K,1355,6.3,10.0
10K,1356,6.3,10.0
10K,1357,6.316666667,10.0
10K,1358,6.316666667,10.0
10K,1359,6.283333333,10.0
10K,1360,6.35,10.0
10K,1361,6.333333333,10.0
10K,1362,6.35,10.0
10K,1363,6.366666667,10.0
10K,1364,6.316666667,10.0
10K,1365,6.383333333,10.0
10K,1366,6.366666667,10.0
10K,1367,6.333333333,10.0
10K,1368,6.366666667,10.0
10K,1369,6.333333333,10.0
10K,1370,6.35,10.0
10K,1371,6.35,10.0
10K,1372,6.333333333,10.0
10K,1373,6.383333333,10.0
10K,1374,6.4,10.0
10K,1375,6.35,10.0
10K,1376,6.366666667,10.0
10K,1377,6.383333333,10.0
10K,1378,6.333333333,10.0
10K,1379,6.4,10.0
10K,1380,6.4,10.0
10K,1381,6.366666667,10.0
10K,1382,6.383333333,10.0
10K,1383,6.433333333,10.0
10K,1384,6.4,10.0
10K,1385,6.483333333,10.0
10K,1386,6.483333333,10.0
10K,1387,6.466666667,10.0
10K,1388,6.516666667,10.0
10K,1389,6.516666667,10.0
10K,1390,6.483333333,10.0
10K,1391,6.466666667,10.0
10K,1392,6.5,10.0
10K,1393,6.5,10.0
10K,1394,6.483333333,10.0
10K,1395,6.516666667,10.0
10K,1396,6.5,10.0
10K,1397,6.5,10.0
10K,1398,6.583333333,10.0
10K,1399,6.483333333,10.0
10K,1400,6.533333333,10.0
10K,1401,6.5,10.0
10K,1402,6.55,10.0
10K,1403,6.55,10.0
10K,1404,6.516666667,10.0
10K,1405,6.566666667,10.0
10K,1406,6.6,10.0
10K,1407,6.516666667,10.0
10K,1408,6.533333333,10.0
10K,1409,6.533333333,10.0
10K,1410,6.6,10.0
10K,1411,6.616666667,10.0
10K,1412,6.6,10.0
10K,1413,6.666666667,10.0
10K,1414,6.6,10.0
10K,1415,6.616666667,10.0
10K,1416,6.616666667,10.0
10K,1417,6.683333333,10.0
10K,1418,6.666666667,10.0
10K,1419,6.7,10.0
10K,1420,6.7,10.0
10K,1421,6.683333333,10.0
10K,1422,6.683333333,10.0
10K,1423,6.666666667,10.0
10K,1424,6.7,10.0
10K,1425,6.7,10.0
10K,1426,6.733333333,10.0
10K,1427,6.783333333,10.0
10K,1428,6.75,10.0
10K,1429,6.8,10.0
10K,1430,6.8,10.0
10K,1431,6.733333333,10.0
10K,1432,6.733333333,10.0
10K,1433,6.75,10.0
10K,1434,6.75,10.0
10K,1435,6.75,10.0
10K,1436,6.766666667,10.0
10K,1437,6.833333333,10.0
10K,1438,6.833333333,10.0
10K,1439,6.8,10.0
10K,1440,6.833333333,10.0
10K,1441,6.8,10.0
10K,1442,6.816666667,10.0
10K,1443,6.9,10.0
10K,1444,6.866666667,10.0
10K,1445,6.85,10.0
10K,1446,6.933333333,10.0
10K,1447,6.933333333,10.0
10K,1448,6.916666667,10.0
10K,1449,6.916666667,10.0
10K,1450,6.95,10.0
10K,1451,6.95,10.0
10K,1452,6.983333333,10.0
10K,1453,7.0,10.0
10K,1454,6.966666667,10.0
10K,1455,6.95,10.0
10K,1456,6.983333333,10.0
10K,1457,6.966666667,10.0
10K,1458,6.983333333,10.0
10K,1459,6.983333333,10.0
10K,1460,7.0,10.0
10K,1461,7.0,10.0
10K,1462,6.983333333,10.0
10K,1463,7.033333333,10.0
10K,1464,7.016666667,10.0
10K,1465,7.016666667,10.0
10K,1466,7.05,10.0
10K,1467,7.016666667,10.0
10K,1468,7.016666667,10.0
10K,1469,7.0,10.0
10K,1470,7.016666667,10.0
10K,1471,7.016666667,10.0
10K,1472,7.033333333,10.0
10K,1473,7.033333333,10.0
10K,1474,7.066666667,10.0
10K,1475,7.066666667,10.0
10K,1476,7.066666667,10.0
10K,1477,7.016666667,10.0
10K,1478,7.1,10.0
10K,1479,7.116666667,10.0
10K,1480,7.116666667,10.0
10K,1481,7.15,10.0
10K,1482,7.133333333,10.0
10K,1483,7.133333333,10.0
10K,1484,7.166666667,10.0
10K,1485,7.15,10.0
10K,1486,7.183333333,10.0
10K,1487,7.183333333,10.0
10K,1488,7.183333333,10.0
10K,1489,7.2,10.0
10K,1490,7.2,10.0
10K,1491,7.216666667,10.0
10K,1492,7.25,10.0
10K,1493,7.35,10.0
10K,1494,7.383333333,10.0
10K,1495,7.383333333,10.0
10K,1496,7.416666667,10.0
10K,1497,7.466666667,10.0
10K,1498,7.483333333,10.0
10K,1499,7.516666667,10.0
10K,1500,7.5,10.0
10K,1501,7.5,10.0
10K,1502,7.516666667,10.0
10K,1503,7.516666667,10.0
10K,1504,7.516666667,10.0
10K,1505,7.5,10.0
10K,1506,7.5,10.0
10K,1507,7.566666667,10.0
10K,1508,7.55,10.0
10K,1509,7.55,10.0
10K,1510,7.55,10.0
10K,1511,7.55,10.0
10K,1512,7.55,10.0
10K,1513,7.583333333,10.0
10K,1514,7.6,10.0
10K,1515,7.583333333,10.0
10K,1516,7.666666667,10.0
10K,1517,7.666666667,10.0
10K,1518,7.733333333,10.0
10K,1519,7.733333333,10.0
10K,1520,7.716666667,10.0
10K,1521,7.733333333,10.0
10K,1522,7.733333333,10.0
10K,1523,7.783333333,10.0
10K,1524,7.783333333,10.0
10K,1525,7.783333333,10.0
10K,1526,7.8,10.0
10K,1527,7.816666667,10.0
10K,1528,7.816666667,10.0
10K,1529,6.283333333,10.0
10K,1530,7.85,10.0
10K,1531,7.866666667,10.0
10K,1532,7.9,10.0
10K,1533,7.916666667,10.0
10K,1534,8.033333333,10.0
10K,1535,8.1,10.0
10K,1536,8.1,10.0
10K,1537,8.016666667,10.0
10K,1538,8.066666667,10.0
10K,1539,8.05,10.0
10K,1540,8.116666667,10.0
10K,1541,8.183333333,10.0
10K,1542,8.15,10.0
10K,1543,8.15,10.0
10K,1544,8.15,10.0
10K,1545,8.266666667,10.0
10K,1546,8.216666667,10.0
10K,1547,8.333333333,10.0
10K,1548,8.266666667,10.0
10K,1549,8.283333333,10.0
10K,1550,8.333333333,10.0
10K,1551,8.35,10.0
10K,1552,8.366666667,10.0
10K,1553,8.35,10.0
10K,1554,8.35,10.0
10K,1555,8.366666667,10.0
10K,1556,8.466666667,10.0
10K,1557,8.533333333,10.0
10K,1558,8.55,10.0
10K,1559,8.583333333,10.0
10K,1560,8.583333333,10.0
10K,1561,8.633333333,10.0
10K,1562,8.65,10.0
10K,1563,8.716666667,10.0
10K,1564,8.733333333,10.0
10K,1565,8.733333333,10.0
10K,1566,8.75,10.0
10K,1567,8.866666667,10.0
10K,1568,8.9,10.0
10K,1569,8.9,10.0
10K,1570,9.016666667,10.0
10K,1571,9.016666667,10.0
10K,1572,9.116666667,10.0
10K,1573,9.116666667,10.0
10K,1574,9.25,10.0
10K,1575,9.25,10.0
10K,1576,9.25,10.0
10K,1577,9.316666667,10.0
10K,1578,9.35,10.0
10K,1579,9.25,10.0
10K,1580,9.25,10.0
10K,1581,9.25,10.0
10K,1582,9.4,10.0
10K,1583,9.383333333,10.0
10K,1584,9.666666667,10.0
10K,1585,9.716666667,10.0
10K,1586,9.716666667,10.0
10K,1587,9.766666667,10.0
10K,1588,9.85,10.0
10K,1589,9.85,10.0
10K,1590,9.933333333,10.0
10K,1591,10.03333333,10.0
10K,1592,10.03333333,10.0
10K,1593,10.03333333,10.0
10K,1594,10.03333333,10.0
10K,1595,10.13333333,10.0
10K,1596,10.15,10.0
10K,1597,10.41666667,10.0
10K,1598,10.43333333,10.0
10K,1599,10.53333333,10.0
10K,1600,10.53333333,10.0
10K,1601,10.53333333,10.0
10K,1602,10.55,10.0
10K,1603,10.55,10.0
10K,1604,10.55,10.0
10K,1605,10.6,10.0
10K,1606,10.78333333,10.0
10K,1607,10.78333333,10.0
10K,1608,11.26666667,10.0
10K,1609,11.26666667,10.0
10K,1610,11.3,10.0
10K,1611,11.3,10.0
10K,1612,11.43333333,10.0
10K,1613,11.78333333,10.0
10K,1614,11.78333333,10.0
10K,1615,11.78333333,10.0
10K,1616,11.78333333,10.0
10K,1617,12.08333333,10.0
Half,1618,3.583333333,21.1
Half,1619,3.7,21.1
Half,1620,3.8,21.1
Half,1621,3.816666667,21.1
Half,1622,3.816666667,21.1
Half,1623,3.85,21.1
Half,1624,3.883333333,21.1
Half,1625,3.9,21.1
Half,1626,3.9,21.1
Half,1627,3.933333333,21.1
Half,1628,3.966666667,21.1
Half,1629,3.983333333,21.1
Half,1630,4.016666667,21.1
Half,1631,4.033333333,21.1
Half,1632,4.033333333,21.1
Half,1633,4.033333333,21.1
Half,1634,4.05,21.1
Half,1635,4.066666667,21.1
Half,1636,4.066666667,21.1
Half,1637,4.083333333,21.1
Half,1638,4.1,21.1
Half,1639,4.1,21.1
Half,1640,4.116666667,21.1
Half,1641,4.116666667,21.1
Half,1642,4.133333333,21.1
Half,1643,4.133333333,21.1
Half,1644,4.15,21.1
Half,1645,4.166666667,21.1
Half,1646,4.166666667,21.1
Half,1647,4.166666667,21.1
Half,1648,4.15,21.1
Half,1649,4.166666667,21.1
Half,1650,4.166666667,21.1
Half,1651,4.183333333,21.1
Half,1652,4.183333333,21.1
Half,1653,4.183333333,21.1
Half,1654,4.166666667,21.1
