seg_id,segment_label,eventA,eventB,from_km_A,to_km_A,from_km_B,to_km_B,direction,total_A,total_B,overlap_status,first_km,first_A_count,first_B_count,first_A_runners,first_B_runners,peak_km,peak_A,peak_B,peak_combined,step_km,tolerance_sec
SUMMARY,Total segments: 46,With overlaps: 30,Overlap rate: 65.2%,,,,,,,,,,,,,,,,,,,
EXEC_TIME,Executed: 2025-09-01 10:51,,,,,,,,,,,,,,,,,,,,,
START_Full,Full: 07:00:00,,,,,,,,,,,,,,,,,,,,,
START_Half,Half: 07:40:00,,,,,,,,,,,,,,,,,,,,,
START_10K,10K: 07:20:00,,,,,,,,,,,,,,,,,,,,,
TOTAL_10K,10K: 13596 runners,,,,,,,,,,,,,,,,,,,,,
TOTAL_Half,Half: 22800 runners,,,,,,,,,,,,,,,,,,,,,
TOTAL_Full,Full: 16560 runners,,,,,,,,,,,,,,,,,,,,,
TOP_1,G2 - Station/Barker to Queen Square (Half to Finish),Range: 19.4km to 21.1km,Peak count: 1824 runners,,,,,,,,,,,,,,,,,,,
TOP_2,I1 - Station/Barker to Bridge/Mill (Half outbound),Range: 5.0km to 10.8km,Peak count: 1824 runners,,,,,,,,,,,,,,,,,,,
TOP_3,J1 - Bridge/Mill to Half Turn (Half outbound),Range: 10.8km to 13.4km,Peak count: 1824 runners,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
A1a,Start to Queen/Regent,10K,Half,0.0,0.9,0.0,0.9,uni,618,912,No overlaps detected,,,,,,,,,,0.03,0.0
A1b,Queen/Regent to WSB mid-point,10K,Half,0.9,1.8,0.9,1.8,uni,618,912,No overlaps detected,,,,,,,,,,0.03,0.0
A1c,WSB mid-point to Friel,10K,Half,1.8,2.7,1.8,2.7,uni,618,912,No overlaps detected,,,,,,,,,,0.03,0.0
A2a,Start to Queen/Regent,10K,Full,0.0,0.9,0.0,0.9,uni,618,368,No overlaps detected,,,,,,,,,,0.03,0.0
A2b,Queen/Regent to WSB mid-point,10K,Full,0.9,1.8,0.9,1.8,uni,618,368,No overlaps detected,,,,,,,,,,0.03,0.0
A2c,WSB mid-point to Friel,10K,Full,1.8,2.7,1.8,2.7,uni,618,368,No overlaps detected,,,,,,,,,,0.03,0.0
A3a,Start to Queen/Regent,Half,Full,0.0,0.9,0.0,0.9,uni,912,368,No overlaps detected,,,,,,,,,,0.03,0.0
A3b,Queen/Regent to WSB mid-point,Half,Full,0.9,1.8,0.9,1.8,uni,912,368,No overlaps detected,,,,,,,,,,0.03,0.0
A3c,WSB mid-point to Friel,Half,Full,1.8,2.7,1.8,2.7,uni,912,368,No overlaps detected,,,,,,,,,,0.03,0.0
B1,Friel to 10K Turn (outbound),10K,Full,2.7,4.25,2.7,4.25,uni,618,368,No overlaps detected,,,,,,,,,,0.03,0.0
B2,Friel to 10K Turn (out vs return),10K,10K,2.7,4.25,4.25,5.81,bi,618,618,Overlap detected,2.7,618,618,"1000, 1001, 1002","1000, 1001, 1002",2.7,618,618,1236,0.03,0.0
C1,10K Turn to Friel (return) vs Full (early),10K,Full,4.25,5.81,14.8,16.33,bi,618,368,Overlap detected,5.0,1,1,1008,2879,5.0,1,1,2,0.03,0.0
C2,10K Turn to Friel (return) vs Full (late),10K,Full,4.25,5.81,2.7,4.25,bi,618,368,Overlap detected,5.0,1,1,1008,2879,5.0,1,1,2,0.03,0.0
D1,Friel to 10K Turn (Full only),Full,Full,2.7,4.25,2.7,4.25,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
D2,10K Turn to 14.8km (Full only),Full,Full,4.25,14.8,4.25,14.8,bi,368,368,Overlap detected,4.25,368,368,"2530, 2531, 2532","2530, 2531, 2532",4.25,368,368,736,0.03,0.0
E1,Friel to 10K Turn (late overlaps),10K,Full,2.7,4.25,14.8,16.33,bi,618,368,No overlaps detected,,,,,,,,,,0.03,0.0
F1,Friel to 10K Return (continuing),10K,10K,5.81,8.1,5.81,8.1,uni,618,618,No overlap possible,,,,,,,,,,0.03,0.0
F2,Friel to Station/Barker (shared path),10K,Half,5.81,8.1,2.7,4.95,uni,618,912,Overlap detected,5.9,3,3,"1578, 1581, 1590","2099, 2080, 2265",8.0,39,40,79,0.03,0.0
F3,Friel to Station/Barker (shared path),10K,Full,5.81,8.1,16.33,18.59,uni,618,368,Overlap detected,6.5,3,2,"1041, 1054, 1055","2878, 2884",8.0,8,8,16,0.03,0.0
F4,Friel to Station/Barker,Half,Full,2.7,4.95,16.33,18.59,uni,912,368,No overlaps detected,,,,,,,,,,0.03,0.0
G1,Station/Barker to Queen Square (10K to Finish),10K,10K,8.1,10.0,8.1,10.0,uni,618,618,No overlap possible,,,,,,,,,,0.03,0.0
G2,Station/Barker to Queen Square (Half to Finish),Half,Half,19.35,21.1,19.35,21.1,uni,912,912,No overlap possible,,,,,,,,,,0.03,0.0
G3,Station/Barker to Queen Square (Full loop inbound),Full,Full,18.59,20.54,18.59,20.54,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
G4,Station/Barker to Queen Square (Full final finish),Full,Full,40.5,42.2,40.5,42.2,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
G5,Station/Barker to Queen Square (10K & Half finishes),10K,Half,8.1,10.0,19.35,21.1,uni,618,912,Overlap detected,8.1,6,4,"1489, 1490, 1550","1732, 2096, 2159",9.0,23,20,43,0.03,0.0
G6,Station/Barker to Queen Square (10K & Full final finish),10K,Full,8.1,10.0,40.5,42.2,uni,618,368,Overlap detected,8.25,1,1,1092,2875,9.0,8,7,15,0.03,0.0
G7,Station/Barker to Queen Square (Half & Full final finish),Half,Full,19.35,21.1,40.5,42.2,uni,912,368,Overlap detected,19.35,2,2,"1638, 1899","2809, 2870",21.0,9,7,16,0.03,0.0
G8,Station/Barker to Queen Square (Half finish & Full loop inbound),Half,Full,19.35,21.1,18.59,20.54,uni,912,368,Overlap detected,19.35,2,2,"1638, 1899","2809, 2870",21.0,9,7,16,0.03,0.0
G9,Station/Barker to Queen Square (10K finish & Full loop inbound),10K,Full,8.1,10.0,18.59,20.54,uni,618,368,Overlap detected,8.25,1,1,1092,2875,9.0,8,7,15,0.03,0.0
H1,Queen Square Loop (Full only),Full,Full,20.54,21.65,20.54,21.65,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
H2,Queen Square to Station/Barker (Full returning vs 10K finish),Full,10K,21.65,23.26,8.1,10.0,bi,368,618,No overlaps detected,,,,,,,,,,0.03,0.0
H3,Queen Square to Station/Barker (Full returning vs Half finish),Full,Half,21.65,23.26,19.35,21.1,bi,368,912,No overlaps detected,,,,,,,,,,0.03,0.0
I1,Station/Barker to Bridge/Mill (Half outbound),Half,Half,4.95,10.84,4.95,10.84,uni,912,912,No overlap possible,,,,,,,,,,0.03,0.0
I2,Station/Barker to Bridge/Mill (Full outbound),Full,Full,23.26,29.06,23.26,29.06,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
I3,Station/Barker to Bridge/Mill (Half + Full co-direction),Half,Full,4.95,10.84,23.26,29.06,uni,912,368,Overlap detected,9.0,1,1,1626,2894,9.0,1,1,2,0.03,0.0
J1,Bridge/Mill to Half Turn (Half outbound),Half,Half,10.84,13.43,10.84,13.43,uni,912,912,No overlap possible,,,,,,,,,,0.03,0.0
J2,Bridge/Mill to Half Turn (Full outbound),Full,Full,29.06,31.64,29.06,31.64,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
J3,Bridge/Mill to Half Turn (Half + Full co-direction),Half,Full,10.84,13.43,29.06,31.64,uni,912,368,Overlap detected,10.9,2,2,"1625, 1639","2871, 2878",13.0,3,3,6,0.03,0.0
K1,Half Turn to Full Turn (Full outbound spur),Full,Full,31.64,33.11,31.64,33.11,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
K2,Full Turn to Half Turn (Full returning spur),Full,Full,33.11,34.34,33.11,34.34,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
L1,Half Turn to Bridge/Mill (Half returning),Half,Half,13.43,16.02,13.43,16.02,uni,912,912,No overlap possible,,,,,,,,,,0.03,0.0
L2,Half Turn to Bridge/Mill (Full returning),Full,Full,34.34,35.47,34.34,36.92,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
L3,Half Turn to Bridge/Mill (Half + Full co-direction return),Half,Full,13.43,16.02,34.34,36.92,uni,912,368,Overlap detected,14.0,9,8,"1623, 1645, 1656","2851, 2859, 2862",14.0,9,8,17,0.03,0.0
L4,Bridge/Mill sector counter-flow (optional),Full,Half,34.34,36.92,10.84,13.43,bi,368,912,No overlaps detected,,,,,,,,,,0.03,0.0
M1,Bridge/Mill to Station/Barker (Full returning vs Half outbound),Full,Half,36.92,40.5,16.02,19.35,uni,368,912,No overlaps detected,,,,,,,,,,0.03,0.0
M2,Bridge/Mill to Station/Barker (Full returning vs Full outbound),Full,Full,36.92,40.5,36.92,40.5,uni,368,368,No overlap possible,,,,,,,,,,0.03,0.0
